Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle	R_Chin_Angle
599	19.967	78.51	130.21	127.56	136.14
600	20.0	73.99	107.05	118.32	134.28
601	20.033	77.7	129.13	126.98	135.51
602	20.067	73.72	106.87	117.49	131.71
603	20.1	75.57	105.7	120.19	132.41
604	20.133	75.66	108.25	119.85	133.18
605	20.167	74.74	107.3	119.38	132.26
606	20.2	77.89	112.19	121.89	133.48
607	20.233	75.41	109.44	122.94	132.17
608	20.267	74.14	107.56	124.28	130.94
609	20.3	74.58	107.41	123.92	129.55
610	20.333	74.79	107.95	123.93	128.97
611	20.367	75.22	109.48	123.77	128.15
612	20.4	76.03	110.79	124.15	128.07
613	20.433	76.9	113.25	125.43	127.98
614	20.467	77.5	113.13	127.2	127.33
615	20.5	77.94	112.44	127.43	126.36
616	20.533	78.05	112.01	127.38	124.91
617	20.567	77.94	112.3	125.25	124.02
618	20.6	79.29	112.79	124.83	124.92
619	20.633	79.98	113.67	125.68	124.69
620	20.667	82.28	113.77	124.08	126.1
621	20.7	82.89	113.13	123.55	126.63
