Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle	R_Chin_Angle
434	14.966	178.15	66.05	145.16	107.51
435	15.0	178.56	66.34	146.21	108.57
436	15.034	178.63	63.43	146.41	108.77
437	15.069	178.83	61.34	147.59	109.35
438	15.103	178.74	63.22	145.87	110.44
439	15.138	178.54	63.87	146.64	110.72
440	15.172	177.51	64.89	145.41	109.89
441	15.207	177.21	65.42	145.23	109.19
442	15.241	177.83	65.21	145.04	109.65
443	15.276	178.27	64.1	147.16	107.98
444	15.31	176.64	67.86	144.65	107.1
445	15.345	175.67	67.45	145.55	105.21
446	15.379	174.54	64.53	144.49	102.24
447	15.414	173.32	59.52	145.4	100.73
448	15.448	171.47	57.37	143.83	105.46
449	15.483	172.95	59.48	142.71	108.28
450	15.517	172.87	58.22	141.75	107.52
451	15.552	172.8	56.37	142.1	106.05
452	15.586	172.43	55.31	142.18	105.08
453	15.621	172.76	56.82	139.51	103.56
454	15.655	174.04	55.29	140.03	100.51
455	15.69	173.45	52.22	140.59	96.86
456	15.724	173.38	53.82	139.21	97.48
457	15.759	174.25	56.22	137.62	98.58
458	15.793	175.19	55.86	139.32	97.9
459	15.828	175.45	54.84	140.73	97.25
460	15.862	173.98	54.51	139.7	97.7
461	15.897	174.49	56.23	139.59	96.71
462	15.931	173.42	55.79	138.19	96.38
463	15.966	169.86	60.23	140.69	91.36
464	16.0	173.86	59.7	141.23	93.44
465	16.034	175.54	61.34	142.0	94.78
466	16.069	175.65	62.13	142.19	94.74
467	16.103	172.78	64.56	141.59	92.4
468	16.138	172.86	65.01	142.31	92.36
469	16.172	173.38	66.06	142.3	94.42
470	16.207	172.98	63.97	143.17	93.54
471	16.241	174.26	63.04	143.64	96.37
472	16.276	176.88	56.57	146.29	95.78
473	16.31	178.07	55.65	145.72	99.32
474	16.345	175.82	59.14	143.15	103.89
475	16.379	177.61	55.93	145.62	108.89
476	16.414	179.82	51.74	145.52	108.72
477	16.448	179.03	55.11	143.85	109.13
478	16.483	177.97	55.47	143.48	108.25
479	16.517	177.75	55.63	144.69	108.09
480	16.552	176.99	57.81	144.54	107.44
481	16.586	177.36	56.73	146.37	106.77
482	16.621	176.67	57.23	145.5	107.56
483	16.655	176.3	56.04	143.83	107.44
484	16.69	175.96	56.55	143.43	106.39
485	16.724	176.0	57.56	144.47	106.54
486	16.759	176.34	57.73	143.97	106.62
487	16.793	176.25	56.65	144.27	107.01
488	16.828	176.48	56.81	143.91	107.6
489	16.862	175.96	56.98	142.88	107.76
490	16.897	176.01	56.75	143.5	107.89
491	16.931	172.68	58.95	144.7	107.2
492	16.966	176.06	55.75	143.92	108.82
493	17.0	176.51	57.45	147.43	109.49
494	17.034	175.89	57.66	147.0	109.08
495	17.069	172.02	62.01	145.31	107.55
496	17.103	175.7	61.58	143.47	107.91
497	17.138	175.48	62.29	142.99	108.52
498	17.172	175.36	61.16	143.44	107.23
499	17.207	175.14	61.59	142.96	107.36
500	17.241	174.65	60.83	143.42	106.78
501	17.276	174.79	60.62	143.03	106.77
502	17.31	175.09	59.94	142.58	106.73
503	17.345	175.29	59.63	142.63	107.22
504	17.379	175.57	60.85	142.91	107.74
505	17.414	176.39	60.73	145.17	108.44
506	17.448	176.23	61.12	143.92	108.25
507	17.483	175.41	60.8	143.01	107.56
508	17.517	175.59	61.33	143.19	108.47
509	17.552	175.2	59.89	142.79	107.72
510	17.586	175.22	59.89	142.88	107.47
511	17.621	175.08	59.63	143.36	107.61
512	17.655	174.24	58.52	143.63	107.09
513	17.69	173.91	57.83	143.03	107.29
514	17.724	174.32	57.32	142.6	107.42
515	17.759	174.41	57.17	142.16	107.19
